trial,pgo,d,RT
439,0.5,4,265
440,0.5,4,266
441,0.5,4,267
442,0.5,4,268
443,0.5,4,269
444,0.5,4,269
445,0.5,4,270
446,0.5,4,270
447,0.5,4,270
448,0.5,4,270
449,0.5,4,271
450,0.5,4,271
451,0.5,4,271
452,0.5,4,271
453,0.5,4,271
454,0.5,4,272
455,0.5,4,272
456,0.5,4,272
457,0.5,4,273
458,0.5,4,274
459,0.5,4,274
460,0.5,4,275
461,0.5,4,275
462,0.5,4,275
463,0.5,4,275
464,0.5,4,276
465,0.5,4,276
466,0.5,4,276
467,0.5,4,276
468,0.5,4,276
469,0.5,4,276
470,0.5,4,276
471,0.5,4,277
472,0.5,4,277
473,0.5,4,278
474,0.5,4,278
475,0.5,4,278
476,0.5,4,279
477,0.5,4,279
478,0.5,4,279
479,0.5,4,281
480,0.5,4,282
481,0.5,4,282
482,0.5,4,283
483,0.5,4,283
484,0.5,4,283
485,0.5,4,284
486,0.5,4,285
487,0.5,4,287
488,0.5,4,287
489,0.5,4,287
490,0.5,4,288
491,0.5,4,289
492,0.5,4,290
493,0.5,4,290
494,0.5,4,290
495,0.5,4,290
496,0.5,4,291
497,0.5,4,291
498,0.5,4,292
499,0.5,4,292
500,0.5,4,292
501,0.5,4,292
502,0.5,4,293
503,0.5,4,293
504,0.5,4,294
505,0.5,4,294
506,0.5,4,295
507,0.5,4,295
508,0.5,4,296
509,0.5,4,296
510,0.5,4,297
511,0.5,4,297
512,0.5,4,297
513,0.5,4,298
514,0.5,4,298
515,0.5,4,298
516,0.5,4,298
517,0.5,4,299
518,0.5,4,299
519,0.5,4,299
520,0.5,4,299
521,0.5,4,300
522,0.5,4,300
523,0.5,4,300
524,0.5,4,301
525,0.5,4,301
526,0.5,4,301
527,0.5,4,302
528,0.5,4,302
529,0.5,4,302
530,0.5,4,303
531,0.5,4,303
532,0.5,4,303
533,0.5,4,303
534,0.5,4,303
535,0.5,4,304
536,0.5,4,304
537,0.5,4,305
538,0.5,4,305
539,0.5,4,305
540,0.5,4,305
541,0.5,4,305
542,0.5,4,306
543,0.5,4,306
544,0.5,4,307
545,0.5,4,308
546,0.5,4,308
547,0.5,4,309
548,0.5,4,309
549,0.5,4,310
550,0.5,4,310
551,0.5,4,311
552,0.5,4,311
553,0.5,4,311
554,0.5,4,312
555,0.5,4,312
556,0.5,4,313
557,0.5,4,313
558,0.5,4,313
559,0.5,4,314
560,0.5,4,314
561,0.5,4,315
562,0.5,4,315
563,0.5,4,315
564,0.5,4,315
565,0.5,4,315
566,0.5,4,316
567,0.5,4,317
568,0.5,4,317
569,0.5,4,317
570,0.5,4,317
571,0.5,4,317
572,0.5,4,318
573,0.5,4,318
574,0.5,4,319
575,0.5,4,319
576,0.5,4,319
577,0.5,4,319
578,0.5,4,319
579,0.5,4,319
580,0.5,4,320
581,0.5,4,321
582,0.5,4,321
583,0.5,4,321
584,0.5,4,322
585,0.5,4,322
586,0.5,4,323
587,0.5,4,323
588,0.5,4,324
589,0.5,4,324
590,0.5,4,324
591,0.5,4,324
592,0.5,4,324
593,0.5,4,324
594,0.5,4,325
595,0.5,4,325
596,0.5,4,325
597,0.5,4,326
598,0.5,4,326
599,0.5,4,326
600,0.5,4,326
601,0.5,4,326
602,0.5,4,327
603,0.5,4,327
604,0.5,4,327
605,0.5,4,327
606,0.5,4,327
607,0.5,4,327
608,0.5,4,328
609,0.5,4,328
610,0.5,4,329
611,0.5,4,329
612,0.5,4,330
613,0.5,4,330
614,0.5,4,330
615,0.5,4,330
616,0.5,4,330
617,0.5,4,330
618,0.5,4,331
619,0.5,4,331
620,0.5,4,331
621,0.5,4,331
622,0.5,4,332
623,0.5,4,332
624,0.5,4,332
625,0.5,4,333
626,0.5,4,333
627,0.5,4,333
628,0.5,4,333
629,0.5,4,334
630,0.5,4,334
631,0.5,4,334
632,0.5,4,334
633,0.5,4,335
634,0.5,4,335
635,0.5,4,335
636,0.5,4,335
637,0.5,4,336
638,0.5,4,336
639,0.5,4,336
640,0.5,4,336
641,0.5,4,336
642,0.5,4,337
643,0.5,4,338
644,0.5,4,338
